WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:5001/ (Press CTRL+C to quit)
192.168.32.16 - - [01/Apr/2020 06:20:10] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgO-&sid=568ef8c642e54289a7edaca931d53af0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:12] "POST /socket.io/?EIO=3&transport=polling&t=N4qBi3F&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:12] "GET /socket.io/?EIO=3&transport=polling&t=N4qBheQ&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:12] "GET /socket.io/?EIO=3&transport=polling&t=N4qBheX&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:12] "POST /socket.io/?EIO=3&transport=polling&t=N4qBi3K&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgO5&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgO-&sid=568ef8c642e54289a7edaca931d53af0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBheT&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBheM&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBi4b&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgP2&sid=03cfccffa3664589b58033268a15cc6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBgOs&sid=b534069e049544f9a3198c209527cb1f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBi4n&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBml4&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBmku&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBh8G&sid=d73a23b1c6b94bf789108fddd6be11e2 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:20:31] "GET /socket.io/?EIO=3&transport=polling&t=N4qBmlA&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
